Date,ATemp,AHumid,ALux,ACO2
1-Jan,25.9205445,52.04351519,480.5095359,544.8128591
2-Jan,24.35361111,55.30295139,415.7708334,474.7673611
3-Jan,23.88726563,57.37065972,312.5546875,482.9001736
4-Jan,23.89243056,57.07204861,315.2847222,483.8385417
5-Jan,25.76235674,56.9880961,142.5484776,448.7728305
6-Jan,25.47391655,58.97110486,58.24250289,453.8007317
7-Jan,24.02868582,57.56419982,249.2760477,567.9066493
8-Jan,24.11817307,59.13496919,321.7720166,567.9804007
9-Jan,24.46050648,61.17301038,336.4244371,561.7194919
10-Jan,23.76922008,59.3627958,226.3999347,590.9971841
11-Jan,23.61047426,59.30255215,261.3261862,572.3486529
12-Jan,25.45133862,60.36979167,184.7514851,479.3111631
13-Jan,26.1730463,60.41943114,175.1150249,458.6871371
14-Jan,24.37483073,57.97483818,325.2530208,562.6077034
15-Jan,24.24150558,58.54536116,337.7021068,578.5681168
16-Jan,24.30518229,59.05989584,352.2855903,583.2543403
17-Jan,24.18262355,58.48589032,302.0462701,576.6297547
18-Jan,24.16162998,58.37857961,325.2235825,557.0986272
19-Jan,25.48444337,58.63379485,87.70364326,466.1107739
20-Jan,25.90675273,59.31053857,109.0495774,452.3279671
21-Jan,24.42518126,58.68099714,274.203609,557.9194584
22-Jan,24.43663471,58.67308848,350.8432604,577.2148603
23-Jan,24.15696381,58.6855372,294.8679642,579.4474267
24-Jan,24.01032263,58.98957124,266.0316099,585.1699
25-Jan,24.18623988,59.40565076,344.3146757,570.8641587
26-Jan,26.06506824,60.08478561,138.2626605,470.8596776
27-Jan,26.73801215,59.71527778,168.7131152,436.4811111
28-Jan,27.32479016,58.94991926,253.7152669,431.012646
29-Jan,26.08793489,57.90277415,334.4931176,527.8791073
30-Jan,25.01476312,57.73954099,307.8442279,571.1077236
31-Jan,24.76587386,57.22305987,321.8808332,575.5865386
1-Feb,23.94648346,57.80681602,257.6697273,581.1000091
2-Feb,25.33878972,59.57285567,133.2856128,477.0342192
3-Feb,26.54193562,59.26148065,249.0939206,450.32518
4-Feb,24.70649645,57.75271739,332.9515776,557.7663798
5-Feb,24.35585938,58.01388889,309.0286458,583.6440972
6-Feb,25.01354338,59.41785638,103.9997996,539.3294832
7-Feb,24.03519022,58.30443599,403.2146482,600.4250324
8-Feb,24.05303979,58.40956479,321.9119045,575.5496384
9-Feb,24.44803662,58.46156881,290.9729932,546.4143903
10-Feb,26.07944818,54.90318985,184.1138469,450.5239364
11-Feb,24.41837518,54.44428217,309.9826221,552.7044015
12-Feb,24.17022915,46.3060031,316.2224084,556.9674915
13-Feb,24.09778304,50.85176648,335.7834943,547.9578842
14-Feb,23.80572403,52.92642292,295.1191292,548.7976554
15-Feb,23.71804512,54.35444623,319.2392701,557.1423655
16-Feb,25.43364844,53.6832032,146.833238,458.8362309
17-Feb,26.33265124,55.23346158,188.1257306,442.792438
18-Feb,24.59710292,56.19506686,333.7609269,552.7100037
19-Feb,24.23159593,57.17411873,284.3472012,581.0198872
20-Feb,23.76141217,58.17895063,234.0159738,602.4117957
21-Feb,23.62474827,58.82291667,243.4244792,607.1388889
22-Feb,23.52158213,58.51091985,309.0920727,589.8781427
23-Feb,24.35428008,58.24615844,75.61181585,461.1567289
24-Feb,25.15308078,54.81149488,179.9037098,438.2174525
25-Feb,23.95926384,53.91259717,374.4298266,548.49033
26-Feb,23.77315198,55.16855327,411.8089504,579.8911881
27-Feb,23.80808233,56.87606367,350.5531959,577.699176
28-Feb,23.85219395,57.09893429,354.5258599,566.917064
1-Mar,23.84360851,57.45723541,328.6405736,554.6877783
2-Mar,25.46897799,58.04823572,134.4051669,443.2980948
3-Mar,26.35613715,55.61892361,188.6137153,423.4114583
4-Mar,24.58391818,56.71000337,326.7606209,536.592918
5-Mar,24.30363344,57.48152282,333.3400298,567.1772074
6-Mar,24.0262801,56.38671124,300.0794436,564.0086235
7-Mar,23.70848078,53.42467479,243.1616417,563.9665615
8-Mar,23.72094523,56.018227,328.3859803,547.9120022
9-Mar,24.93181061,59.3846454,84.70398699,465.3263254
10-Mar,25.67426216,59.54079861,137.1692708,447.6137153
11-Mar,24.49257747,57.45992827,299.0777585,548.7406316
12-Mar,24.25589525,56.69449586,334.5599382,564.8769237
13-Mar,23.89479151,57.70444198,238.6403837,601.8569051
14-Mar,23.81835225,58.48384503,287.6937866,555.5950749
15-Mar,23.52940439,58.34007917,281.490622,545.6145675
16-Mar,24.5426796,58.55348069,67.97148423,447.9821489
17-Mar,24.59524052,60.65339177,51.7553505,427.7159825
18-Mar,23.62566143,58.91408509,264.2481122,552.9619605
19-Mar,23.75285385,57.69591529,296.1269957,575.6400166
20-Mar,23.71533751,58.29283219,387.9172591,589.8041531
21-Mar,23.67905587,58.77439071,324.3138543,582.689704
22-Mar,23.57832237,59.00113654,308.2600452,573.955964
23-Mar,24.95856087,59.58049687,146.1109277,471.6075044
24-Mar,25.58008414,59.82764128,56.07506862,444.4759053
25-Mar,25.06353002,58.54217721,415.9512944,501.7440567
26-Mar,23.94152613,51.4585745,320.4537007,568.1330199
27-Mar,23.74501235,48.65958332,413.4180208,564.2311698
28-Mar,23.64363019,54.11957925,365.5897102,569.57549
29-Mar,23.56806879,56.35683831,381.0286539,556.7053031
30-Mar,24.74717067,57.84378767,136.7217038,443.8614756
31-Mar,24.75309506,46.78340487,172.921257,422.4466149
1-Apr,23.62070547,50.2888195,340.8395797,555.3367482
2-Apr,23.49385659,55.51516731,285.5741192,599.2918701
3-Apr,23.5092939,56.90941326,364.3198593,600.7690284
4-Apr,23.46544864,56.86607016,268.6820038,608.9483694
5-Apr,23.27513751,57.71622119,212.1814282,601.5081389
6-Apr,24.52772219,57.73689701,200.3750779,473.3123595
8-Apr,25.37807169,53.67602064,296.2551987,509.8533169
9-Apr,24.32290114,50.78720075,243.1729689,570.2706623
10-Apr,23.83754927,48.73728761,230.034134,595.9575611
11-Apr,23.44392704,48.27363862,274.8359787,595.910859
12-Apr,23.24318694,50.61139274,221.6283693,584.4394665
13-Apr,23.46883,53.15214866,118.5701431,548.0147781
14-Apr,24.52706616,53.16839064,130.630524,463.5719758
15-Apr,24.68159815,53.09777309,194.5810261,510.7874411
16-Apr,23.76586545,55.10156275,270.4775413,581.133513
17-Apr,23.58063789,56.45290421,242.6916588,603.6254749
18-Apr,23.55967882,56.81336806,272.6892361,608.6588542
19-Apr,23.75088541,56.89409722,214.4973958,548.6744792
20-Apr,24.88814492,56.39812328,106.7287059,473.5317237
21-Apr,25.73660216,56.79300047,116.1880427,460.940794
22-Apr,26.30913022,57.08407738,179.1367052,443.9100247
23-Apr,26.24792535,55.96875,229.3663195,454.4348959
24-Apr,24.40630208,56.09895834,218.3446181,503.0876736
25-Apr,24.25118763,54.62248355,229.28076,495.2442079
26-Apr,25.23236366,51.70928031,238.6621503,469.9555653
27-Apr,25.09823285,47.88593572,143.6588845,462.5762856
28-Apr,25.64845263,41.80057044,126.6840526,435.3520337
29-Apr,25.24433658,48.58193199,261.5311131,486.2655439
30-Apr,24.0853998,51.69878472,226.1766343,545.5465338
1-May,23.73307651,53.98289838,241.125105,579.1263899
2-May,23.58725694,52.59881613,247.0367819,563.7601655
3-May,23.24557716,55.33929522,311.9941081,577.8673781
4-May,23.72482891,51.81382647,132.0276764,496.234595
5-May,24.14611201,46.75472968,186.358568,458.2690941
6-May,23.54178776,44.72535597,340.3322196,498.0734486
7-May,23.30434867,43.01638755,358.2244331,523.1425098
8-May,23.34378516,38.35909475,356.0291107,488.0102026
9-May,23.35185611,36.91125408,367.7972937,491.8018485
10-May,23.06727155,36.94944853,371.0268178,531.2733048
11-May,23.28923629,36.96242922,199.0079225,489.7601503
12-May,23.62755457,37.95867407,206.5889278,461.8184401
13-May,23.38676004,41.58231244,371.9955671,529.5935894
14-May,23.29960122,46.00624916,370.0488128,556.0785523
15-May,23.34216028,47.19265239,357.3024862,539.9832898
16-May,23.56435145,46.83435118,378.8152045,538.8735137
17-May,23.41644691,46.82131361,371.2031478,552.3109651
18-May,23.82640008,50.08576252,199.3857289,537.711411
19-May,24.35363857,51.24043515,186.721902,499.705002
20-May,23.71003091,52.54211409,360.8971229,542.3847429
21-May,23.43764129,52.37897428,342.3244333,547.8011662
22-May,23.63106212,52.27207307,384.3596755,530.0574519
23-May,23.79104429,53.45424412,343.4175035,531.4894521
24-May,23.40704211,49.3708066,350.8045148,553.4390779
25-May,24.06142968,44.24218868,188.4159161,501.3298452
26-May,24.52004615,42.24049346,166.5263063,462.2211235
27-May,23.76710137,40.03374838,323.71661,505.1634938
28-May,23.36448171,35.68877033,337.304624,512.5541794
29-May,23.34543054,34.47501598,346.8888794,483.9870272
30-May,23.34537143,33.22003088,358.2080099,481.118631
31-May,23.06382265,34.63065812,358.8370385,531.6511433
1-Jun,23.37778921,37.60107517,173.5075219,481.5324429
2-Jun,23.48078607,41.22322914,118.7249324,462.8043651
3-Jun,23.29636579,42.04890379,328.0162791,528.1964001
4-Jun,23.09209181,41.61170875,368.5851604,529.4911317
5-Jun,23.09119928,43.80222793,323.4099829,514.448401
6-Jun,23.14346157,42.37788978,361.3006472,520.2330764
7-Jun,23.43317055,44.33065403,275.7375606,527.3621218
8-Jun,23.30184918,47.86539318,113.8786301,518.6983229
9-Jun,23.62225765,45.82502676,128.0169256,488.3613759
10-Jun,24.19544455,42.64019331,291.4901033,494.9143729
11-Jun,23.79343907,45.66806682,295.1358912,530.4834854
12-Jun,23.50287704,47.59142887,276.7586513,535.4744331
13-Jun,23.47741041,46.37672193,254.6935838,540.0764775
14-Jun,23.43840318,42.85556984,307.6827571,557.4851952
15-Jun,23.70772247,41.17065116,217.5718807,549.6185252
16-Jun,23.70630598,44.49233278,142.5696594,483.0096092
17-Jun,23.27250831,46.11324005,214.3718771,519.0961428
18-Jun,23.06925634,45.62987397,241.362458,588.7341999
19-Jun,23.25060641,42.80861129,235.3258675,532.7226972
20-Jun,23.3134755,38.08857701,287.2961648,547.8281249
21-Jun,22.90084184,37.47940427,291.6668473,561.3964235
22-Jun,22.86806458,37.70811963,185.0358933,508.7478989
23-Jun,22.72037449,40.09734113,139.5925085,476.2620837
24-Jun,22.78794494,44.93808453,259.3957642,573.2664735
25-Jun,22.93897762,47.09936079,259.0450035,588.3741109
26-Jun,23.4038249,48.03055526,259.2901188,562.3531428
27-Jun,23.29324189,47.97697458,272.2253023,543.9371366
28-Jun,22.98000755,49.8771362,341.3994965,601.8432588
29-Jun,23.32054428,49.46006642,256.1684425,547.565056
30-Jun,23.99788692,44.39120517,175.1613379,478.0487652
1-Jul,23.55528938,35.83369963,96.65347985,489.3003663
2-Jul,23.09241225,31.94772218,129.6452577,551.3696789
3-Jul,23.05159193,34.73019432,131.4334828,554.1136024
4-Jul,23.02320359,42.75898204,125.5359281,560.7215569
5-Jul,23.13830189,47.40301887,122.5539623,558.9962264
6-Jul,23.44641337,46.60942249,75.95744681,496.0965046
7-Jul,23.8027782,45.7009841,32.57532173,440.8879637
8-Jul,23.61992395,46.12851711,101.5695817,504.6745247
9-Jul,23.26717814,40.61676647,137.9872754,555.257485
10-Jul,23.11269289,33.57942511,143.9500756,539.1951589
11-Jul,23.10604511,28.71278195,161.7699248,533.0045113
12-Jul,23.18588102,28.88554217,147.5753012,518.5542169
13-Jul,23.55945824,30.13844996,166.214447,446.7674944
14-Jul,23.58275549,27.53898562,61.11355034,411.3875852
15-Jul,23.36167295,25.16654107,107.8651093,486.9088169
16-Jul,23.13769057,26.63471698,143.0898113,534.1071698
17-Jul,23.10568061,28.72623574,146.8357414,529.2570342
18-Jul,23.10778868,28.50792453,141.7954717,531.3803774
19-Jul,23.05337079,28.42696629,139.4516854,533.3355805
20-Jul,23.61060465,30.88604651,80.7372093,458.3703488
21-Jul,24.32430866,30.30935754,58.74022346,424.7835196
22-Jul,23.66067294,32.17655572,145.5274964,528.4862518
23-Jul,23.54586657,28.17984046,147.2240754,533.4945613
24-Jul,23.49900285,29.34472934,156.7799145,549.8162393
25-Jul,23.15226225,33.21757925,115.1974063,572.7024496
26-Jul,23.18441389,36.59261939,108.5984081,564.841534
27-Jul,24.01517463,36.29722024,38.53813257,469.3271561
28-Jul,24.29176972,36.43496802,42.52949538,428.6439232
29-Jul,23.50786282,34.47436823,133.4606498,533.3234657
30-Jul,23.40150646,38.63916786,136.0401722,542.6226686
31-Jul,23.1353592,40.9762931,133.4037356,527.4188218
1-Aug,23.27019438,40.97552196,148.3938085,542.0158387
2-Aug,23.23498177,41.38730853,132.7148067,542.5032823
3-Aug,23.94734104,39.9132948,44.31719653,432.0397399
4-Aug,23.88760174,36.26235465,54.84011628,441.7209302
5-Aug,23.51176681,43.76609442,139.3090129,520.5321888
6-Aug,23.38927181,37.20403749,146.7202596,544.7613554
7-Aug,23.35422776,31.81637011,159.2683274,528.1366548
8-Aug,23.33654822,29.79622915,132.933285,527.1080493
9-Aug,23.24178132,24.81752353,144.4735699,492.3584359
10-Aug,23.4547311,23.55741279,137.3175872,394.7609012
11-Aug,23.53281027,23.87660485,124.8544936,395.7068474
12-Aug,23.17604032,27.55507559,158.4290857,503.9416847
13-Aug,23.11640426,30.89787234,150.8879433,548.5539007
14-Aug,23.08927599,33.79354839,148.288172,550.1856631
15-Aug,23.148377,29.55458515,159.2911208,553.9541485
16-Aug,23.32588701,25.97457627,153.1310734,552.4830508
17-Aug,23.94,26.54311153,67.6579194,496.5107779
18-Aug,24.46422378,31.2013986,52.74452214,449.2867133
19-Aug,24.00813591,27.64039641,113.4190656,502.1524304
20-Aug,23.40078836,23.19192867,134.6245894,542.2562177
21-Aug,23.43230677,26.00756972,115.6430279,541.0729084
22-Aug,23.30171944,28.94854881,122.2880387,544.0457344
23-Aug,23.05192393,29.43122512,120.0442282,557.584697
24-Aug,24.09984417,30.89269813,53.50400712,486.2569012
25-Aug,25.21875244,28.68987094,287.6265154,429.7235041
26-Aug,23.7494922,43.29815016,128.0776206,549.6906057
27-Aug,23.56887344,46.44385027,155.771836,563.3475936
28-Aug,23.49210999,44.76707405,212.5941769,553.8508267
29-Aug,23.07144552,44.05609493,95.95433297,560.9374326
30-Aug,22.95151328,45.12113496,88.62459076,554.849036
31-Aug,23.40094033,44.60650995,69.86112116,477.283906
1-Sep,24.18028877,42.54581105,151.9326203,428.8926916
2-Sep,23.565083,41.81335301,208.9077831,520.4972335
3-Sep,23.45108247,39.86487482,214.8685567,532.7466863
4-Sep,23.59248449,37.14009486,198.892375,532.4407151
5-Sep,23.67446507,42.40429403,156.5705968,526.5629549
6-Sep,23.56080634,43.76349892,157.8110151,507.162707
7-Sep,24.1669375,32.64154412,154.2985294,404.0117647
8-Sep,24.47927808,29.38710866,122.292081,400.2103131
9-Sep,23.3334507,27.27464789,149.4547813,508.7409192
10-Sep,22.928722,31.75284613,151.0613294,522.3892765
11-Sep,23.03646751,37.58420685,184.5831586,524.7403913
12-Sep,23.03326851,31.61032162,155.8040389,551.9678384
13-Sep,23.33128986,38.71811594,152.8304348,537.2221014
14-Sep,23.98701735,39.98818752,107.9110373,447.211148
15-Sep,24.63688359,37.43600868,108.9793926,433.5520607
16-Sep,23.96178716,33.43266055,154.0700917,538.4642202
17-Sep,23.03499453,46.58220926,112.7976668,593.1749909
18-Sep,23.06394602,52.98468271,127.1239971,575.5762217
19-Sep,23.05084329,54.95367354,175.6445892,585.2598625
20-Sep,23.23935741,55.87186312,167.3813688,540.8604563
21-Sep,24.0330257,55.14524922,75.60747664,436.7644081
22-Sep,24.78252264,51.91621377,57.32291667,418.8713768
23-Sep,23.69508528,37.22576302,158.3487433,538.9196589
24-Sep,23.41014519,33.72504537,170.342559,567.9246824
25-Sep,23.40812243,39.27272727,178.0552764,568.6907264
26-Sep,23.56125678,46.43761302,175.693038,560.3575949
27-Sep,23.72785565,44.3666318,155.2400628,517.3797071
28-Sep,24.64543913,37.80072683,61.1586917,421.5754088
29-Sep,24.94953923,38.6014944,48.7988792,396.8418431
30-Sep,23.85826467,43.43695381,138.6086142,521.1535581
1-Oct,23.94360185,44.56296296,110.299537,547.6930556
2-Oct,23.72564516,47.39695341,63.14426523,534.2141577
3-Oct,23.91974561,43.70701754,66.54473684,531.6333333
4-Oct,24.2049779,43.21308576,78.39168877,540.5694076
5-Oct,24.58390517,48.60086207,12.81034483,436.4974138
6-Oct,24.96915888,47.1411215,24.61775701,409.7990654
7-Oct,25.68654122,46.79032258,53.25716846,407.8046595
8-Oct,24.36800542,47.34115523,68.41064982,523.4584838
9-Oct,23.80824434,37.5321267,61.85701357,551.5945701
10-Oct,23.90709271,40.33033303,68.60126013,572.970297
11-Oct,23.74482192,42.72968037,59.92146119,586.1589041
12-Oct,24.5323262,41.76827094,29.05525847,457.7352941
13-Oct,24.78805984,40.66545784,31.62103354,446.0734361
14-Oct,24.07658492,44.71752952,75.36693915,552.9391462
15-Oct,24.28444646,51.78584392,72.17967332,592.5372051
16-Oct,24.19276923,54.49797571,57.56032389,569.3076923
17-Oct,24.09907749,43.26691267,175.9692497,546.2441574
18-Oct,23.82939944,32.10824022,159.7562849,534.1857542
19-Oct,25.31425298,36.10540788,34.60769936,454.8909258
20-Oct,25.7726087,35.20380435,36.32699275,426.3423913
21-Oct,24.35771272,40.47209515,64.36962489,544.0347667
22-Oct,24.15680217,47.35411021,67.86901536,542.2303523
23-Oct,24.16433364,52.87669991,62.36083409,543.6718042
24-Oct,24.21802336,54.69991015,68.90745732,552.5426774
25-Oct,24.29645512,44.2574796,65.76518586,527.467815
26-Oct,26.0670562,40.44335415,31.058876,430.3407672
27-Oct,26.3912056,34.63616792,28.77717976,414.8471475
28-Oct,24.55980899,42.9,32.75280899,500.9067416
29-Oct,24.54704519,49.72769409,8.849362688,530.6152955
30-Oct,24.86851852,52.04282407,11.73958333,535.0520833
31-Oct,24.42529213,54.27078652,14.52921348,559.7561798
1-Nov,24.26927083,55.86226852,7.164351852,554.2083333
2-Nov,25.94592334,55.029036,4.7514518,456.7073171
3-Nov,26.6206489,52.94669757,3.349942063,420.995365
4-Nov,24.73586806,54.21759259,9.16087963,537.0925926
5-Nov,24.15312233,43.78100941,103.7707442,516.0863986
6-Nov,24.22772468,38.84094151,158.8459344,515.7168331
7-Nov,24.50146341,35.18292683,41.51407129,532.0722326
8-Nov,24.28782201,31.10655738,19.74355972,521.236534
9-Nov,25.41997765,29.56871508,6.679329609,433.7217877
10-Nov,26.02372503,29.08460635,6.614571093,411.0481786
11-Nov,24.47457607,44.08594657,9.31358885,503.1695703
12-Nov,24.50523702,36.41986456,13.496614,628.2776524
13-Nov,24.24913194,28.34375,26.99884259,475.7326389
14-Nov,24.03327103,32.74415888,9.126168224,502.3796729
15-Nov,24.21700229,32.74828375,7.329519451,521.1990847
16-Nov,25.87705336,35.53596288,4.622969838,434.1821346
17-Nov,26.16901012,40.64116985,4.070866142,416.6141732
18-Nov,24.42296296,48.16087963,5.615740741,490.3240741
19-Nov,24.38380952,43.1126597,7.825783972,638.0987224
20-Nov,24.28322917,47.38310185,5.385416667,554.7939815
21-Nov,24.09862428,54.15491329,4.575722543,705.3537572
22-Nov,23.89186788,56.32118451,3.033029613,682.8462415
23-Nov,25.08288194,56.27777778,14.8275463,496.3761574
24-Nov,25.74063731,53.23522596,3.213209733,431.7427578
25-Nov,24.37396292,53.14252607,7.276940904,518.4495944
26-Nov,24.4119467,48.396292,6.733487833,567.6581692
27-Nov,24.13191194,36.8760139,23.29200463,516.1228273
28-Nov,24.12030197,51.05923345,13.82810685,539.989547
29-Nov,24.32362269,57.64930556,21.88657407,526.5798611
30-Nov,25.65756944,58.85763889,2.295138889,463.1875
1-Dec,25.8128125,51.61226852,7.017361111,455.2314815
2-Dec,24.41542197,36.00231214,8.314450867,554.7421965
3-Dec,24.03773782,35.57888631,15.51508121,728.4489559
4-Dec,24.18815972,40.21412037,6.472222222,738.9131944
5-Dec,24.13537747,41.84088269,6.406504065,665.174216
6-Dec,24.29718424,49.49015064,4.853997683,532.589803
7-Dec,25.83513889,53.6875,4.344907407,468.9918981
8-Dec,26.40034722,50.76851852,4.540509259,424.4409722
9-Dec,24.86099884,55.36236934,16.75261324,518.8768873
10-Dec,24.83235499,56.56148492,5.799303944,563.2238979
11-Dec,24.24796804,55.21689498,4.746575342,529.8641553
12-Dec,24.03457612,54.55017301,75.63062284,547.0363322
13-Dec,24.3694341,53.19985673,104.2621777,477.3230659
14-Dec,25.78084637,55.09032717,136.5469417,437.7652916
15-Dec,26.52764537,55.32089017,121.3058148,412.9842067
16-Dec,24.80209386,53.30397112,135.9393502,484.7393502
17-Dec,24.24118962,50.94015862,155.0771449,518.7224225
18-Dec,24.24983524,54.00931232,172.4011461,496.284384
19-Dec,24.72035507,52.62971014,131.3195652,565.773913
20-Dec,24.08602033,54.0087146,132.1198257,628.6521423
21-Dec,25.97704297,55.68973052,130.0400583,440.3678077
22-Dec,25.69737717,52.75939306,81.95447977,405.591763
23-Dec,24.35339298,52.34144596,199.5332856,420.9105225
24-Dec,24.25771368,55.76139601,248.2742165,404.3625356
25-Dec,26.56549427,53.57163324,371.2299427,399.7048711
26-Dec,27.57128777,50.88776978,410.7201439,400.1057554
27-Dec,25.2254717,54.71552975,367.6574746,417.5812772
28-Dec,26.47712319,52.72101449,366.1478261,430.6514493
29-Dec,26.7384081,49.42185239,183.6099855,449.2865412
30-Dec,24.61953846,52.21831502,334.9904762,453.4761905
31-Dec,24.25524049,50.91241924,407.8485284,471.0703518
